Data_registro;Hora;Ano;Mês;Dia;Familia;Especie;Nome_comum;Origem;Cor;Localidade;Município;Tipo_registro;Precisão da Coordenada;Observação;Identificador;Latitude_Y;Longitude_X;lat;lon;Rodovia;Rodovia_ou_Local
23/08/2025;;2025;8;23;Felidae;Leopardus geoffroyi;Gato-do-mato-grande;Silvestre;Pintado;BR-471;Santa Cruz do Sul;Vestígio;Exata;;Rogério, 2025;-29,6900;-52,4495;-29.69;-52.4495;BR-471;BR-471
31/08/2025;;2025;8;31;Felidae;Leopardus guttulus;Gato-do-mato-pequeno;Silvestre;Pintado;Marcorama;Garibaldi;Vestígio;Exata;;Felipe Peters, 2025;-29,2483;-51,6216;-29.2483;-51.6216;;Área: Marcorama
02/09/2025;;2025;9;2;Felidae;Leopardus wiedii;Gato-maracajá;Silvestre;Pintado;BR-293;Pinheiro Machado;Vestígio;Aproximada Google Maps;;Rogério, 2025;-31,6331;-53,2247;-31.6331;-53.2247;BR-293;BR-293
05/09/2025;;2025;9;5;Felidae;Leopardus geoffroyi;Gato-do-mato-grande;Silvestre;Pintado;RS-473;Hulha Negra;Vestígio;Exata;;Rogério, 2025;-31,4074;-53,7501;-31.4074;-53.7501;RS-473;RS-473
06/09/2025;;2025;9;6;Felidae;Leopardus wiedii;Gato-maracajá;Silvestre;Pintado;BR-386;Soledade;Vestígio;Aproximada Google Maps;;Felipe Peters, 2025;-28,8449;-52,4523;-28.8449;-52.4523;BR-386;BR-386
08/09/2025;;2025;9;8;Felidae;Leopardus geoffroyi;Gato-do-mato-grande;Silvestre;Pintado;BR-290;Glorinha;Vestígio;Exata;;Rogério, 2025;-29,8977;-50,7368;-29.8977;-50.7368;BR-290;BR-290
12/09/2025;;2025;9;12;Felidae;Puma concolor;Onça-parda;Silvestre;Liso;BR-285; Vacaria;Vestígio;Exata;;Rogério, 2025;-28,5850;-50,7694;-28.585;-50.7694;BR-285;BR-285
18/09/2025;;2025;9;18;Felidae;Leopardus geoffroyi;Gato-do-mato-grande;Silvestre;Pintado;BR-293;Bagé;Vestígio;Exata;;Felipe Peters, 2025;-31,3018;-54,0431;-31.3018;-54.0431;BR-293;BR-293
16/09/2025;;2025;9;16;Felidae;Leopardus wiedii;Gato-maracajá;Silvestre;Pintado;BR-153;Erechim;Vestígio;Exata;;Felipe Peters, 2025;-27,5391;-52,1828;-27.5391;-52.1828;BR-153;BR-153
10/01/2025;;2025;1;10;Felidae;Herpailurus yagouaroundi;Jaguarundi;Silvestre;Cinza;BR-293;Hulha Negra;;Exata;Enviado João Fábio depois BIMA;Felipe Peters, 2025;-31,3916;-53,8618;-31.3916;-53.8618;BR-293;BR-293
20/11/2025;;2025;11;20;Felidae;Leopardus geoffroyi;Gato-do-mato-grande;Silvestre;Pintado;BR-116;Sentinela do Sul;Vestígio;Exata;Depositado na UFRGS;Felipe Peters, 2025;-30,9567;-51969;-30.9567;-51.969;BR-116;BR-116
20/11/2025;;2025;11;24;Felidae;Leopardus wiedii;Gato-maracajá;Silvestre;Pintado;BR-471;Santa Cruz do Sul;Vestígio;Exata;;Alan, 2025;-29,8397;-52,3961;-29.8397;-52.3961;BR-471;BR-471
08/10/2025;;2025;10;8;Felidae;Leopardus wiedii;Gato-maracajá;Silvestre;Pintado;;Tapes;Vestígio;Exata;;Felipe Peters, 2025;-30,5859;-51,413753;-30.5859;-51.413753;;Área: Tapes
07/12/2025;;2025;12;7;Felidae;Leopardus geoffroyi;Gato-do-mato-grande;Silvestre;Melânico;BR-293; Dom Pedrito;Vestígio;Exata;;Felipe Peters, 2025;-31,1031;-54,4388;-31.1031;-54.4388;BR-293;BR-293
28/11/2025;;2025;11;28;Felidae;Herpailurus yagouaroundi;Jaguarundi;Silvestre;Marrom;RS-241;São Vicente do Sul;Vestígio;Exata;;Rogério, 2025;-29,7067;-54,7301;-29.7067;-54.7301;RS-241;RS-241
02/12/2025;;2025;12;2;Felidae;Leopardus munoai;Gato-palheiro-pampeano;Silvestre;Pintado;RS-473; Hulha Negra;Vestígio;Exata;Coletado  - Suelen;Suelen, 2025;-31,33676;-53,967048;-31.33676;-53.967048;RS-473;RS-473
23/12/2025;;2025;12;23;Felidae;Leopardus wiedii;Gato-maracajá;Silvestre;Pintado;;Feliz;Vestígio;Exata;;Alan, 2025;-29,4603;-51,3266;-29.4603;-51.3266;;Área: Feliz
03/01/2026;;2026;1;3;Felidae;Herpailurus yagouaroundi;Jaguarundi;Silvestre;Liso;BR-293; Hulha Negra;Vestígio;Aproximada Google Maps;;Felipe Peters, 2026;-31,3491;-53,9477;-31.3491;-53.9477;BR-293;BR-293
12/01/2026;;2026;1;12;Felidae;Leopardus wiedii;Gato-maracajá;Silvestre;Pintado;BR-153;Cachoeira do Sul;Vestígio;Exata;;Felipe Peters, 2026;-30,2683;-52,8855;-30.2683;-52.8855;BR-153;BR-153
15/01/2026;;2026;1;15;Felidae;Herpailurus yagouaroundi;Jaguarundi;Silvestre;Liso;;Catuípe;Vestígio;Exata;;Felipe Peters, 2026;-28,0313;-54,0733;-28.0313;-54.0733;;Área: Catuípe
20/01/2026;;2026;1;20;Felidae;Herpailurus yagouaroundi;Jaguarundi;Silvestre;Liso;RS-168;Roque Gonzales;Vestígio;Exata;;Alan, 2026;-28,0782;-54,9382;-28.0782;-54.9382;RS-168;RS-168
01/02/2026;;2026;1;2;Felidae;Leopardus geoffroyi;Gato-do-mato-grande;Silvestre;Pintado;BR-158;Rosário do Sul;Vestígio;Exata;;Felipe Peters, 2026;-30,3320;-55,0076;-30.332;-55.0076;BR-158;BR-158
06/02/2026;;2026;2;6;Felidae;Leopardus wiedii;Gato-maracajá;Silvestre;Pintado;BR-116;Arroio Grande;Vestígio;Exata;;Alan, 2026;-32,2548;-53,0804;-32.2548;-53.0804;BR-116;BR-116
10/02/2026;;2026;2;10;Felidae;Herpailurus yagouaroundi;Jaguarundi;Silvestre;Liso;BR-293;Candiota;Vestígio;Exata;;Suelen, 2026;-31,4201;-53,7219;-31.4201;-53.7219;BR-293;BR-293
18/02/2026;;2026;2;18;Felidae;Leopardus pardalis;Jaguatirica;Silvestre;Pintado;PR-151;Ponta Grossa;Vestígio;Exata;;Felipe Peters, 2026;-25,2617;-50,1459;-25.2617;-50.1459;PR-151;PR-151
27/02/2026;;2026;2;27;Felidae;Leopardus guttulus;Gato-do-mato-pequeno;Silvestre;Pintado;RS-473;Candiota;Vestígio;Exata;;Suelen, 2026;-31,4062;-53,7525;-31.4062;-53.7525;RS-473;RS-473
02/03/26;;2026;3;2;Felidae;Leopardus wiedii;Gato-maracajá;Silvestre;Pintado;RS-392;Santa Maria;Vestígio;Exata;;Felipe Peters, 2026;-29,7445;-53,7929;-29.7445;-53.7929;RS-392;RS-392
28/02/2026;;2026;2;28;Felidae;Puma concolor;Onça-parda;Silvestre;Liso;BR-158; Pejuçara;Vestígio;Aproximada Google Maps;;Alan, 2026;-28,5023;-53,5496;-28.5023;-53.5496;BR-158;BR-158
03/03/2026;;2026;3;3;Felidae;Leopardus geoffroyi;Gato-do-mato-grande;Silvestre;Pintado;BR-116;Camaquã;Vestígio;Exata;;Eduardo Coelho, 2026;-30,8859;-51,8336;-30.8859;-51.8336;BR-116;BR-116
16/03/2026;;2026;3;16;Felidae;Leopardus geoffroyi;Gato-do-mato-grande;Silvestre;Pintado;BR-293;Bagé;Vestígio;Exata;;Rogério, 2026;-31,3013;-54,0442;-31.3013;-54.0442;BR-293;BR-293
16/03/2026;;2026;3;16;Felidae;Leopardus geoffroyi;Gato-do-mato-grande;Silvestre;Pintado;BR-293;Bagé;Vestígio;Exata;;Rogério, 2026;-31,3012;-54,0443;-31.3012;-54.0443;BR-293;BR-293
25/03/2026;;2026;3;25;Felidae;Leopardus geoffroyi;Gato-do-mato-grande;Silvestre;Melânico;BR-293;Hulha Negra;Vestígio;Exata;;Rogério, 2026;-31,3165;-54,0061;-31.3165;-54.0061;BR-293;BR-293
28/03/2026;;2026;3;28;Felidae;Herpailurus yagouaroundi;Jaguarundi;Silvestre;Liso;BR-290;Rosário do Sul;Vestígio;Exata;;Flávia Tirelli, 2026;-30,2440;-54,8391;-30.244;-54.8391;BR-290;BR-290
02/04/2026;;2026;4;2;Felidae;Leopardus wiedii;Gato-maracajá;Silvestre;Pintado;BR-293; Hulha Negra;Vestígio;Exata;Coletado  - Suelen;Rogério, 2026;-31,3615;-53,9313;-31.3615;-53.9313;BR-293;BR-293
02/04/2026;;2026;4;2;Felidae;Leopardus geoffroyi;Gato-do-mato-grande;Silvestre;Pintado;RS-176;Manoel Viana;Vestígio;Exata;;Felipe Peters, 2026;-29,3948;-55,4384;-29.3948;-55.4384;RS-176;RS-176
18/04/2026;;2026;4;18;Felidae;Puma concolor;Puma;Silvestre;Liso;; Maquiné;Vestígio;Aproximada Google Maps;;Mateus, 2026;-29,6720;-50,2196;-29.672;-50.2196;;Área: Maquiné
21/04/2026;;2026;4;21;Felidae;Leopardus wiedii;Gato-maracajá;Silvestre;Pintado;BR-158;Cruz Alta;Vestígio;Exata;;Felipe Peters, 2026;-28,6658;-53,5968;-28.6658;-53.5968;BR-158;BR-158
21/04/2026;;2026;4;21;Felidae;Leopardus wiedii;Gato-maracajá;Silvestre;Pintado;BR-158;Cruz Alta;Vestígio;Exata;;Felipe Peters, 2026;-28,5878;-53,6163;-28.5878;-53.6163;BR-158;BR-158
23/04/2026;;2026;4;23;Felidae;Leopardus geoffroyi;Gato-do-mato-grande;Silvestre;Pintado;BR-472;Uruguaiana;Vestígio;Aproximada Google Maps;;Mateus, 2026;-29,8307;-57,1015;-29.8307;-57.1015;BR-472;BR-472
25/04/2026;;2026;4;25;Felidae;Leopardus geoffroyi;Gato-do-mato-grande;Silvestre;Pintado;BR-290;Iruí;Vestígio;Exata;;Rogério, 2026;-30,2106;-52,5259;-30.2106;-52.5259;BR-290;BR-290
28/04/2026;;2026;4;28;Felidae;Leopardus geoffroyi;Gato-do-mato-grande;Silvestre;Pintado;Estrada de terra;Bagé;Vestígio;Exata;;Rogério, 2026;-31,2839;-54,0057;-31.2839;-54.0057;;Área: Estrada de terra
03/05/2026;;2026;5;3;Felidae;Leopardus geoffroyi;Gato-do-mato-grande;Silvestre;Pintado;BR-153;Aceguá;Vestígio;Exata;;Alan, 2026;-31,6602;-54,1534;-31.6602;-54.1534;BR-153;BR-153
27/04/2026;;2026;4;27;Felidae;Leopardus geoffroyi;Gato-do-mato-grande;Silvestre;Pintado;;Dilermando de Aguiar;Vestígio;Exata;;Rogério, 2026;-29,7640;-54,2266;-29.764;-54.2266;;Área: Dilermando de Aguiar
